segment_index,segment_state,stage,target_channel,sweep_value,sweep_unit,bias_I,bias_Q,bias_P,pilot_mode,blocks,mag_fI,mag_fQ,mag_fdiff_200,mag_fsum_2200,dc
1,SCAN_I_MATP,matp,i,-9.000000,V,-9.000000,0.000000,0.000000,onboard,10,0.210492998,0.000000000,0.000000000,0.000000000,0.969024956
1,SCAN_I_MATP,matp,i,-8.900000,V,-8.900000,0.000000,0.000000,onboard,10,0.308986008,0.000000000,0.000000000,0.000000000,0.927722812
1,SCAN_I_MATP,matp,i,-8.799999,V,-8.799999,0.000000,0.000000,onboard,10,0.309305817,0.000000000,0.000000000,0.000000000,0.940167904
1,SCAN_I_MATP,matp,i,-8.699999,V,-8.699999,0.000000,0.000000,onboard,10,0.307622135,0.000000000,0.000000000,0.000000000,0.954857528
1,SCAN_I_MATP,matp,i,-8.599998,V,-8.599998,0.000000,0.000000,onboard,10,0.305299193,0.000000000,0.000000000,0.000000000,0.970030606
1,SCAN_I_MATP,matp,i,-8.499998,V,-8.499998,0.000000,0.000000,onboard,10,0.304061502,0.000000000,0.000000000,0.000000000,0.985225081
1,SCAN_I_MATP,matp,i,-8.399998,V,-8.399998,0.000000,0.000000,onboard,10,0.302829564,0.000000000,0.000000000,0.000000000,1.000528693
1,SCAN_I_MATP,matp,i,-8.299997,V,-8.299997,0.000000,0.000000,onboard,10,0.300253987,0.000000000,0.000000000,0.000000000,1.016476035
1,SCAN_I_MATP,matp,i,-8.199997,V,-8.199997,0.000000,0.000000,onboard,10,0.298062563,0.000000000,0.000000000,0.000000000,1.031927586
1,SCAN_I_MATP,matp,i,-8.099997,V,-8.099997,0.000000,0.000000,onboard,10,0.296746552,0.000000000,0.000000000,0.000000000,1.048120260
1,SCAN_I_MATP,matp,i,-7.999997,V,-7.999997,0.000000,0.000000,onboard,10,0.293292701,0.000000000,0.000000000,0.000000000,1.063387394
1,SCAN_I_MATP,matp,i,-7.899997,V,-7.899997,0.000000,0.000000,onboard,10,0.290353239,0.000000000,0.000000000,0.000000000,1.079205751
